Column1;index;LogisticRegression__max_iter;LogisticRegression__penalty;LogisticRegression__solver;Scaler;Poly;Acc;Model;SVC__C;SVC__kernel;KNeighborsClassifier__n_neighbors;DecisionTreeClassifier__max_depth;DecisionTreeClassifier__splitter;RandomForestClassifier__max_depth;AdaBoostClassifier__n_estimators;GradientBoostingClassifier__n_estimators
1;1.0;;;;MinMaxScaler();2.0;0.801920614596671;GradientBoostingClassifier;;;;;;;;200.0
0;0.0;;;;MinMaxScaler();3.0;0.8005318625036935;RandomForestClassifier;;;;;;10;;
0;0.0;;;;StandardScaler();2.0;0.8005220131980696;SVC;1.0;sigmoid;;;;;;
0;0.0;;;;StandardScaler();3.0;0.8005220131980696;RandomForestClassifier;;;;;;10;;
0;0.0;;;;MinMaxScaler();2.0;0.8005220131980696;RandomForestClassifier;;;;;;10;;
0;0.0;;;;MinMaxScaler();3.0;0.8005023145868215;KNeighborsClassifier;;;3.0;;;;;
1;1.0;;;;StandardScaler();3.0;0.7991923569388357;AdaBoostClassifier;;;;;;;100.0;
1;1.0;;;;MinMaxScaler();3.0;0.7991923569388357;AdaBoostClassifier;;;;;;;100.0;
1;1.0;;;;StandardScaler();3.0;0.799133261105092;KNeighborsClassifier;;;5.0;;;;;
0;0.0;;;;MinMaxScaler();2.0;0.7991135624938442;KNeighborsClassifier;;;3.0;;;;;
3;3.0;;;;StandardScaler();2.0;0.7991037131882203;SVC;10.0;rbf;;;;;;
0;0.0;;;;MinMaxScaler();4.0;0.7991037131882203;KNeighborsClassifier;;;3.0;;;;;
1;1.0;;;;StandardScaler();2.0;0.7991037131882202;KNeighborsClassifier;;;5.0;;;;;
1;1.0;;;;StandardScaler();3.0;0.7977445090121146;GradientBoostingClassifier;;;;;;;;200.0
1;1.0;;;;MinMaxScaler();2.0;0.7977346597064907;DecisionTreeClassifier;;;;10;random;;;
2;2.0;;;;MinMaxScaler();2.0;0.7977346597064907;GradientBoostingClassifier;;;;;;;;500.0
0;0.0;;;;MinMaxScaler();4.0;0.7977248104008667;RandomForestClassifier;;;;;;10;;
1;1.0;;;;MinMaxScaler();3.0;0.7977248104008667;GradientBoostingClassifier;;;;;;;;200.0
0;0.0;;;;StandardScaler();4.0;0.7977051117896188;GradientBoostingClassifier;;;;;;;;100.0
0;0.0;;;;MinMaxScaler();4.0;0.7964345513641288;AdaBoostClassifier;;;;;;;50.0;
0;0.0;;;;StandardScaler();3.0;0.796375455530385;AdaBoostClassifier;;;;;;;50.0;
0;0.0;;;;MinMaxScaler();3.0;0.796375455530385;AdaBoostClassifier;;;;;;;50.0;
2;2.0;;;;StandardScaler();3.0;0.7963459076135132;SVC;10.0;sigmoid;;;;;;
2;2.0;;;;StandardScaler();2.0;0.7963262090022654;GradientBoostingClassifier;;;;;;;;500.0
0;0.0;;;;StandardScaler();2.0;0.7962966610853934;KNeighborsClassifier;;;3.0;;;;;
0;0.0;;;;StandardScaler();4.0;0.7962966610853934;RandomForestClassifier;;;;;;10;;
2;2.0;2000.0;l1;liblinear;StandardScaler();4.0;0.7962868117797695;LogisticRegression;;;;;;;;
0;0.0;;;;StandardScaler();3.0;0.79491775829804;DecisionTreeClassifier;;;;10;best;;;
1;1.0;;;;MinMaxScaler();4.0;0.79491775829804;DecisionTreeClassifier;;;;10;random;;;
3;3.0;;;;StandardScaler();3.0;0.794907908992416;SVC;10.0;rbf;;;;;;
1;1.0;1000.0;l2;liblinear;StandardScaler();3.0;0.7948980596867921;LogisticRegression;;;;;;;;
3;3.0;2000.0;l2;liblinear;StandardScaler();3.0;0.7948980596867921;LogisticRegression;;;;;;;;
0;0.0;1000.0;l1;liblinear;StandardScaler();4.0;0.7948882103811681;LogisticRegression;;;;;;;;
0;0.0;;;;StandardScaler();2.0;0.7921402541120851;AdaBoostClassifier;;;;;;;50.0;
0;0.0;;;;MinMaxScaler();2.0;0.7921402541120851;AdaBoostClassifier;;;;;;;50.0;
1;1.0;;;;StandardScaler();4.0;0.792140254112085;AdaBoostClassifier;;;;;;;100.0;
1;1.0;;;;MinMaxScaler();4.0;0.7921205555008373;GradientBoostingClassifier;;;;;;;;200.0
0;0.0;;;;MinMaxScaler();2.0;0.7921008568895893;DecisionTreeClassifier;;;;10;best;;;
0;0.0;;;;StandardScaler();2.0;0.7907022554909878;DecisionTreeClassifier;;;;10;best;;;
1;1.0;;;;StandardScaler();4.0;0.790662858268492;SVC;1.0;rbf;;;;;;
0;0.0;;;;StandardScaler();4.0;0.7893529006205062;AdaBoostClassifier;;;;;;;50.0;
2;2.0;;;;MinMaxScaler();4.0;0.7893135033980105;SVC;10.0;sigmoid;;;;;;
1;1.0;1000.0;l2;liblinear;StandardScaler();4.0;0.7893036540923866;LogisticRegression;;;;;;;;
3;3.0;2000.0;l2;liblinear;StandardScaler();4.0;0.7893036540923866;LogisticRegression;;;;;;;;
0;0.0;;;;MinMaxScaler();4.0;0.787914901999409;DecisionTreeClassifier;;;;10;best;;;
1;1.0;;;;StandardScaler();4.0;0.7864966019895597;GradientBoostingClassifier;;;;;;;;200.0
1;1.0;;;;StandardScaler();2.0;0.7851176992022062;AdaBoostClassifier;;;;;;;100.0;
1;1.0;;;;MinMaxScaler();2.0;0.7851176992022062;AdaBoostClassifier;;;;;;;100.0;
2;2.0;;;;StandardScaler();3.0;0.7851176992022062;GradientBoostingClassifier;;;;;;;;500.0
0;0.0;;;;StandardScaler();4.0;0.7850881512853344;DecisionTreeClassifier;;;;10;best;;;
0;0.0;;;;StandardScaler();3.0;0.7850783019797104;KNeighborsClassifier;;;3.0;;;;;
3;3.0;;;;StandardScaler();4.0;0.7850487540628386;SVC;10.0;rbf;;;;;;
2;2.0;;;;StandardScaler();4.0;0.783699399192357;SVC;10.0;sigmoid;;;;;;
2;2.0;;;;MinMaxScaler();3.0;0.7823007977937555;GradientBoostingClassifier;;;;;;;;500.0
2;2.0;;;;StandardScaler();4.0;0.7822909484881315;GradientBoostingClassifier;;;;;;;;500.0
0;0.0;;;;StandardScaler();4.0;0.7822614005712597;KNeighborsClassifier;;;3.0;;;;;
2;2.0;;;;StandardScaler();2.0;0.7809218950064021;SVC;10.0;sigmoid;;;;;;
1;1.0;;;;StandardScaler();3.0;0.7808726484782823;DecisionTreeClassifier;;;;10;random;;;
1;1.0;;;;MinMaxScaler();4.0;0.7739091894021473;AdaBoostClassifier;;;;;;;100.0;
2;2.0;;;;MinMaxScaler();4.0;0.7738894907908992;GradientBoostingClassifier;;;;;;;;500.0
1;1.0;;;;MinMaxScaler();3.0;0.7724613414754259;DecisionTreeClassifier;;;;10;random;;;
1;1.0;;;;StandardScaler();4.0;0.7710134935487047;DecisionTreeClassifier;;;;10;random;;;
0;0.0;;;;MinMaxScaler();2.0;0.761213434452871;SVC;1.0;sigmoid;;;;;;
2;2.0;;;;MinMaxScaler();3.0;0.7541416330148725;SVC;10.0;sigmoid;;;;;;
2;2.0;;;;MinMaxScaler();2.0;0.7035457500246233;SVC;10.0;sigmoid;;;;;;
2;2.0;;;;StandardScaler();2.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;StandardScaler();2.0;;DecisionTreeClassifier;;;;None;random;;;
2;2.0;;;;StandardScaler();3.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;StandardScaler();3.0;;DecisionTreeClassifier;;;;None;random;;;
2;2.0;;;;StandardScaler();4.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;StandardScaler();4.0;;DecisionTreeClassifier;;;;None;random;;;
2;2.0;;;;MinMaxScaler();2.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;MinMaxScaler();2.0;;DecisionTreeClassifier;;;;None;random;;;
2;2.0;;;;MinMaxScaler();3.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;MinMaxScaler();3.0;;DecisionTreeClassifier;;;;None;random;;;
2;2.0;;;;MinMaxScaler();4.0;;DecisionTreeClassifier;;;;None;best;;;
3;3.0;;;;MinMaxScaler();4.0;;DecisionTreeClassifier;;;;None;random;;;
1;1.0;;;;StandardScaler();2.0;;RandomForestClassifier;;;;;;None;;
1;1.0;;;;StandardScaler();3.0;;RandomForestClassifier;;;;;;None;;
1;1.0;;;;StandardScaler();4.0;;RandomForestClassifier;;;;;;None;;
1;1.0;;;;MinMaxScaler();2.0;;RandomForestClassifier;;;;;;None;;
1;1.0;;;;MinMaxScaler();3.0;;RandomForestClassifier;;;;;;None;;
1;1.0;;;;MinMaxScaler();4.0;;RandomForestClassifier;;;;;;None;;
